Name1	Name2	corr
fome_noun_fem_sing	morrer_verb_part	0.22090842
morrer_verb_part	fome_noun_fem_sing	0.22090842
justiça_noun_fem_sing	extraditar_verb_inf	0.21929618
extraditar_verb_inf	justiça_noun_fem_sing	0.21929618
pedir_verb_fin_plur	refúgio_noun_masc_sing	0.21847773
refúgio_noun_masc_sing	pedir_verb_fin_plur	0.21847773
defesa_noun_fem_sing	soberania_noun_fem_sing	0.21831132
soberania_noun_fem_sing	defesa_noun_fem_sing	0.21831132
palavra_noun_fem_plur	vivo_noun_masc_sing	0.21738038
vivo_noun_masc_sing	palavra_noun_fem_plur	0.21738038
general_noun_masc_sing	concordar_verb_fin_sing	0.21585496
concordar_verb_fin_sing	general_noun_masc_sing	0.21585496
milhão_noun_masc_plur	apreender_verb_fin_sing	0.21290207
apreender_verb_fin_sing	milhão_noun_masc_plur	0.21290207
parlamento_noun_masc_sing	aprovar_verb_fin_sing	0.21192527
aprovar_verb_fin_sing	parlamento_noun_masc_sing	0.21192527
fogo_noun_masc_sing	caminhão_noun_masc_plur	0.21108341
caminhão_noun_masc_plur	fogo_noun_masc_sing	0.21108341
comunidade_noun_fem_sing	internacional_adj_fem_sing	0.20963908
internacional_adj_fem_sing	comunidade_noun_fem_sing	0.20963908
abençoar_verb_fin_sing	folded_hands_e	0.20937706
folded_hands_e	abençoar_verb_fin_sing	0.20937706
comer_verb_fin_sing	luxo_noun_masc_sing	0.209127
luxo_noun_masc_sing	comer_verb_fin_sing	0.209127
venezuelano_adj_masc_plur	imigrante_noun_masc_plur	0.20848608
imigrante_noun_masc_plur	venezuelano_adj_masc_plur	0.20848608
decisão_noun_fem_sing	expulsão_noun_fem_sing	0.20708372
expulsão_noun_fem_sing	decisão_noun_fem_sing	0.20708372
lei_noun_fem_sing	político_noun_masc_plur	0.20581794
político_noun_masc_plur	lei_noun_fem_sing	0.20581794
venezuelano_adj_masc_plur	militar_noun_masc_plur	0.2053958
militar_noun_masc_plur	venezuelano_adj_masc_plur	0.2053958
venezuelano_adj_fem_plur	criança_noun_fem_plur	0.20375876
criança_noun_fem_plur	venezuelano_adj_fem_plur	0.20375876
humanitário_adj_masc_sing	atendimento_noun_masc_sing	0.20344398
atendimento_noun_masc_sing	humanitário_adj_masc_sing	0.20344398
rede_noun_fem_plur	tirar_verb_fin_plur	0.2033962
tirar_verb_fin_plur	rede_noun_fem_plur	0.2033962
ar_noun_masc_sing	tirar_verb_fin_plur	0.20310568
tirar_verb_fin_plur	ar_noun_masc_sing	0.20310568
valer_verb_fin_sing	lembrar_verb_inf	0.20269754
lembrar_verb_inf	valer_verb_fin_sing	0.20269754
tomar_verb_fin_sing	posse_noun_fem_sing	0.20094533
posse_noun_fem_sing	tomar_verb_fin_sing	0.20094533
socialista_adj_masc_sing	paraíso_noun_masc_sing	0.20021855
paraíso_noun_masc_sing	socialista_adj_masc_sing	0.20021855
relatório_noun_masc_sing	apontar_verb_fin_sing	0.19959772
apontar_verb_fin_sing	relatório_noun_masc_sing	0.19959772
fechar_verb_inf	olho_noun_masc_plur	0.19815327
olho_noun_masc_plur	fechar_verb_inf	0.19815327
dinheiro_noun_masc_sing	apreender_verb_fin_sing	0.19795712
apreender_verb_fin_sing	dinheiro_noun_masc_sing	0.19795712
norte	imperialismo_noun_masc_sing	0.19595862
morrer_verb_part_masc_sing	tiro_noun_masc_plur	0.19595862
tiro_noun_masc_plur	morrer_verb_part_masc_sing	0.19595862
