df_index	text
000889	"""@VEJA: Supremo venezuelano declara inconstitucional lei de anistia para opositores "" olha Venezuela virando o Brasil"
004779	"""A Economia venezuelana apresenta números de país em guerra"", diz ela.  (Se isso fosse motivo para uma invasão mili… "
003931	"""A constituinte é um instrumento para a paz"", ressaltou Aristóbulo Istúriz, grande liderança do povo venezuelano. O… "
018645	"""A esquerda tem sangue venezuelano não mãos""!"
002541	"""A gente fode os venezuelanos e bota a culpa no socialismo"" "
006792	"""Ain, Pq eu vou virar venezuelano pra começar a receber benéficio do governo sem trabalhar.""  NAO SEJA ESSE TIPO DE PESSOA!"
002507	"""Ataques ""terroristas"" deixam 7 milhões de venezuelanos sem telefonia móvel"" "
010826	"""Atención"" - 5,0/10 tentou a colombiana e conseguiu a venezuelana, até é uma música boa, porém rimas fracas e melod… "
011071	"""Bolsonaro é apenas uma peça no xadrez de Trump"", diz chanceler venezuelano. "
008131	"""Cada venezuelano despertou de um pesadelo"", diz Guaidó em discurso "
005907	"""Chupa cabra"" na urna eletrônica? Presença de empresa venezuelana na apuração dos votos? O presidente do Tribunal R… "
006091	"""Coitada da Venezuela, o povo está morrendo lá, você quer que aqui fique igual? #B17""  == Notícia: Venezuelanos bus… "
005595	"""DECRETO PREJUDICIAL AOS VENEZUELANOS"" - AGU pede suspensão do decreto do governo de Roraima sobre imigrantes - "
010082	"""Deus é brasileiro e venezuelano"" VCS QUE ELEGERAM ESSA ABERRAÇÃO SÓ PODEM SER PIOR QUE ELE FRANCAMENTE"
010637	"""Diante de ameaças é necessário lutar pelo país em que se vive. Os venezuelanos descobriram isso muito tarde. Perde… "
002537	"""Diante de escassez de dinheiro, venezuelanos pagam para comprar notas"" "
004974	"""Dois anos após erradicação, sarampo volta a assombrar o país""  Venezuelanos refugiados em Roraima trouxeram de vol… "
002754	"""Estamos com o povo venezuelano que padece um ataque como nunca antes""   @jimmypedya #headlines #news #feedly"
008518	"""Estamos com vocês"", diz Mike Pence ao povo Venezuelano - Notícias - R7 Internacional  #R7 via @portalr7"
001642	"""Governo está cego, surdo e mudo"", diz economista venezuelano sobre a crise e a inflação no país - l  #R7 @portalR7"
010652	"""Guaidó diz que tem apoio de 'principais unidades militares' e chama venezuelanos às ruas""  "
000667	"""Maduro abre guerra aos ‘empresários que conspiram contra a economia venezuelana’""  #política #feedly"
009263	"""Maduro deve cair, mas não pelas mãos do imperialismo. As massas venezuelanas que devem derrubar Maduro. A oposição… "
002293	"""Maduro estuprou o MP venezuelano"" (Janot). Adivinha quem vem se dizendo ""maduro"" e gostaria de poder fazer o mesmo..."
000604	"""Mais de 70% dos venezuelanos querem saída antecipada de Maduro""  #revistaveja  #feedly"
001549	"""Meio milhar de venezuelanas atravessaram na terça-feira a fronteira com a Colômbia, em direção à cidade de Cúcuta… "
017148	"""Mendigos venezuelanos desmembram cachorros de rua para comer""  FATO: na Venezuela, animais de estimação foram aban… "
004371	"""Mulher venezuelana dá à luz em pé na rua movimentada porque hospitais na Venezuela não têm suprimentos médicos, ho… "
001669	"""Não vou saudar um golpista"", diz atleta olímpica venezuelana sobre Michel Temer.  by @ptbrasil via @c0nvey"
001201	"""O Grito do Bicho"": Com fome graças ao socialismo, venezuelanos caçam ...  estão comendo cães e gatos."
003775	"""O angustiante cotidiano dos venezuelanos em meio aos protestos"" "
018662	"""O efeito Jean-Paul Sartre na esquerda da América Latina. Para escritor venezuelano, polêmica entre Camus e Sartre… "
011965	"""O governo venezuelano se ofereceu para realizar uma reunião de emergência de ministros das Relações Exteriores da… "
018793	"""O livro de Bolton descreve o trabalho com o governo britânico para congelar os depósitos de ouro venezuelanos no Banco da Inglaterra"""
002863	"""O novo julgamento de 'Carlos, o Chacal', venezuelano que se tornou um dos mais temidos militantes palestinos"" "
006218	"""O ponto de contato entre o conflito venezuelano e o atual impasse brasileiro está na histeria antiesquerdista de q… "
002780	"""O povo venezuelano está passando fome"", diz Trump, ao citar Venezuela, depois de chamar governo cubano de corrupto."
009633	"""O presidente venezuelano Nicolas #Maduro diz que @TomLlamasABC o governo dos EUA está"" tentando fabricar uma crise… "
015207	"""O senhor entrou em contato com o governo venezuelano?"" ""Não"" ""O Senhor agradeceu ao governo venezuelano?"" ""Não"""
003831	"""O século XXI chegou"", declarou pomposamente o Presidente venezuelano, anunciando a petro, criptomoeda que pretende… "
006541	"""Oh não, agora a justiça petralha comunista bolivariada venezuelana cheguevariana do foro de são paulo financiada p… "
002727	"""Oposição venezuelana denuncia sequestro de instituições"" "
009650	"""Os problemas dos venezuelanos devem ser resolvidos em casa, pelos venezuelanos. É ilegal, conforme a Carta das Naç… "
017644	"""Pintou um clima"" com uma garota menor de idade venezuelana é muito pior que áudio sobre turismo sexual na Ucrânia, talquei?"
016626	"""Pintou um clima"": Advogada venezuelana repudia fala de Bolsonaro sobre crianças "
004886	"""Pobreza atinge 9 em cada 10 venezuelanos"".   Caralho."
007602	"""Povo venezuelano está feliz e saúda a liberdade do irmão Lula"", afirma Maduro  "
000203	"""Precisamos de um trump pra barrar os cubanos, e venezuelanos que estão nos invadindo"""
005512	"""Quando os venezuelanos foram às ruas já era tarde Demais"" Jair Bolsonaro  #VemPraRua3deAbril"
005273	"""Quase 128 mil venezuelanos entraram no Brasil entre 2017 e 2018""  "
012178	"""Queremos viver num lugar tranquilo em família"", dizem venezuelanos que pedem refúgio no Brasil "
008206	"""Rússia e China pedem que oposição venezuelana inicie diálogo com Maduro.""  Diálogo do Maduro: prisão seguida de tortura e execução."
006319	"""Se alguém me provar que 1 país derrubou o comunismo via votos em urna eletrônica venezuelana, eu paro de pedir INT… "
004430	"""Talvez seja o único meio de pôr fim à penúria causada pelo homem que ameaça a vida de milhões de venezuelanos"", di… "
008415	"""Todo o apoio possível aos nossos irmãos venezuelanos para que seja restaurada a democracia e paz dessa nação."" (Ge… "
011866	"""Tá aonde Alana?"" ""To no Panamá, sentada no chão do aeroporto com um cobertinha que peguei do avião, do lado de uma Venezuelana"" 🤦🏻‍♀️"
001345	"""Vamos invadir sua praia""! Neste final de semana, milhares de venezuelanos foram à Colômbia para comprar produtos... "
002360	"""Venezuelanos comem antas do zoológico  "" // E a @CNBBNacional faz o quê?Aparece ao lado de Ptistas fazendo demagogia"
000949	"""Venezuelanos não trabalham na segunda-feira para poupar eletricidade"" "
018327	"""Venezuelanos podem ter imposto sobre Bitcoin""  "
005963	"""Você já viu o q vai ser do RS cheio desses venezuelanos? Vai virar um horror! Essa gente doente, vão transformar o estado numa guerra!"""
005427	"""absurdo Edilson falando da seleção venezuelana desse jeito, preconceituoso........   meu deus um anão gay zoando c… "
009872	"""ai mas EUA só ta fingindo ajuda humanitária pra possuir o petróleo dos venezuelanos"" Meu cu. OQ ADIANTE PORRA DE P… "
000170	"""em busca de empregos, venezuelanos driblam a crise e invadem o Brasil"" eu acho que nem entendi um pouco direito"
011922	"""eua tentam matar venezuelanos de fome para ficar com seu petróleo."""
008456	"""não pq as reservas de petróleo o EUA quer tomar""  As vidas de Venezuelanos valem menos que petróleo"
006658	"""os venezuelanos tão fugindo pro brasil"" E VCS PAU NO CU TÃO NEGANDO ASILO NESSA PORRA"
008432	"""um grave ataque à soberania do povo venezuelano"" o povo ta indo pras ruas, tão ariscando suas vidas por uma causa… "
004241	"""É melhor comer que matar gente.""~venezuelano anônimo"
004037	"""É preciso expor o genocídio venezuelano, buscar o fim desse terror e fazer os responsáveis pagarem pelos seus... "
005184	"""Êxodo venezuelano perturba países da América Latina"", diz Temer "
011273	#17May @carlosvecchio: Recuperamos todas as propriedades dos VENEZUELANOS nos EUA. Aqui cessou a usurpação. Continu… 
003290	#20170717 Brasil diz que povo venezuelano quer restaurar o estado democrático de direito  
000342	#ALERTA OUÇA o que este VENEZUELANO diz aos #BRASILEIROS. Ainda não estamos LIVRES da DitaduraComunista  via @YouTube
010053	#ATENCIÓN Adido militar venezuelano à ONU, Cnel Pedro José Chirinos, retira seu apoio a Nicolás maduro e chega à or… 
007894	#ATENÇAO Autoridades venezuelanas acusa #Bolsonaro de ligação em um suposto ataque a uma base militar onde um solad… 
014108	#AcolhidosPorMeioDoTrabalho O primeiro dia de trabalho dos 11 venezuelanos interiorizados para Brasília foi marcado… 
000605	#Acordabraziu Ex-chefe da Federação Venezuelana deve ir aos EUA em dez dias: Preso em Zurique, capital da Suíç... 
012680	#AlexSaab Diplomata venezuelano, o novo símbolo de resistência ao império americano #AS 
012718	#AlexSaab Diplomata venezuelano, o novo símbolo de resistência ao império americano . 
001739	#Apoio total aos venezuelanos,fora Maduro já  
005614	"#AtentadoMaduro   ""O Governo venezuelano informou esta noite que o Presidente Nicolás Maduro foi alvo de uma tentat… "
009450	#AyudaHumanitaria @realDonaldTrump ameaça militares venezuelanos mas na prática não faz nada para ajudar o povo ven… 
015312	"#BOANOITE!? 2022: corrupto ""venezuelano"" ou tiozão do churrasco?  via @YouTube"
007344	#Bddf Alguma solução tem que ser dada rápida para as casas que recebem os venezuelanos, foram trazidos para Brasíli… 
001797	#BetaLab Oposição venezuelana realiza novos protestos contra Maduro: Números foram bem menores do que os do a... 
010373	#BolsonaroEnvergonhaOBrasil O mais engraçado é que os venezuelanos que entraram no país pois fugiam de um crise em… 
006226	#BolsonaroNoPanico O cúmulo do azar: ser Venezuelano depois da desgraça lá fugir para o Brasil e quando chega o Haddad é eleito
006736	#Brasil #Venezuela São já mais de 50 mil os venezuelanos instalados na capital do estado brasileiro de #Roraima à p… 
004440	#Brasil - Imigrantes venezuelanos desembarcam em Manaus em voo da FAB | Amazonas  #RedeAprizion
002172	#Brasil Fornecedor de bombas pro governo venezuelano usar contra seu próprio povo. 
006619	#BrasilComBolsonaro17 Mano agora falando sério, é muito azar um venezuelano fugir pro BRASIL, e o Haddad ser eleito.
011093	#BrasilPrecisaDoMoro O Brasil não tem como agradecer à esse homem. Estaríamos vivendo o mesmo trama dos venezuelano… 
008543	#BrasilYvenezuelaConGuaidó estou em oração pelo povo venezuelano
000627	#Brasileiros, ajudem #povo #venezuelano p/ compra/doação dos #medicamentos.#MedicinasParaVzla #SOSVenezuela 
009663	#Breaking - Toda a Fronteira entre a República da Colômbia e a República Bolivariana da Venezuela foram fechadas por Tropas Venezuelanas
013890	#COMUNICADO | O Governo venezuelano rejeita ações ilegais dos EUA contra o presidente do TSJ, Maikel Moreno… 
016982	"#CORRIGINDO: BOLSONARO DIZ EM ENTREVISTA QUE ""PINTOU UM CLIMA"" SE REFERINDO A MENINAS VENEZUELANAS; INTERNAUTAS REP… "
014158	#CiroAvisou que a Venezuela é uma democracia. O que vemos é o povo venezuelano comendos cachorro e os cangaciros ba… 
003412	#Dia15PeloBrasil  #intervencaomilitarJA ACORDA BRASIL, SE NÃO NOS MEXERMOS VAMOS PASSAR FOME IGUAL AOS VENEZUELANOS. 
004905	#DigaNaoAimigração ninguém quer Venezuelano aqui não
014484	#DireitosHumanos #ONU Ação de agências da ONU pretende empoderar refugiadas venezuelanas 
015095	#DomingoEspetacular Arruma isso aí, não é venezuelados e sim venezuelanos kkkk
012385	#DoriaVaiCair  Maduro anuncia remédio venezuelano que “aniquila completamente” a Covid-19  SÓ  FALTAVA  ESSA  PARA… 
000192	#EBC Vaticano anuncia início de diálogo entre governo venezuelano e oposição 
001208	#Edgar Detido chefe de segurança do presidente do parlamento venezuelano  #Arturo
010240	"#Eleitoressempartido  Esta distancia da America do Sul e este orgulho de ""CORTE EUROPEIA"" só deixa os Venezuelanos… "
006864	"#EmPauta ""Ñ adianta brasileiro se achar ocidental, pq é igual a venezuelano, hondurenho, etc."". Ocidental só geogra… "
006540	#Empauta so o Brasil abre as portas Venezuelanos ,bolivianos as pessoas vem pra ca e ajuda aumentar o índice de des… 
014961	#EnFotos 📸 | Em nome do Presidente @NicolasMaduro e do povo venezuelano, o Vice-Ministro para a África,… 
006994	#Encontro sentir a Fátima sem ter q falar sobre o óleo no Nordeste, será que é pq é venezuelano? E a esquerda sumiu?
019206	#EsNoticia | Governo venezuelano repudia tentativa de assassinato contra a Vice-Presidente da Argentina… 
007054	#EsquerdaNãoPresta #EsquerdaMente #EsquerdaMata Pois é...  - Obra da corja do venezuelano Maduro e seus lacaios esq… 
010720	#Estudioi Quando esta escória chamado Nicolas Maduro cair, o povo venezuelano no pode deixar de homenagear seu maio… 
006585	#EuSouLula PRA QUÊ? VOCÊS TÃO COM INVEJA DOS VENEZUELANOS, BOLIVIANOS E NICARAGUENSES? Querem ficar na situação del… 
005751	#EuVotoBolsonaro Pq não quero me ajoelhar e comer comida do lixo,assim como infelizmente os Venezuelanos estão fazendo!!!
004801	#Fantastico Venezuelanos fugindo da fome na Venezuela é vindo para o Brasil, para você que é brasileiro e faz vídeo… 
012640	#ForaBolsonaroESeuBandoDeCriminososeCORRUPTOS   #ForaTodosOsGolpistas   #VenezuelaNaoVirouUmBrasil!!!!!!!!!!  Muito… 
009105	"#FreddyBernal ""É um falso positivo, queriam montar um show de que as forças venezuelanas estavam atacando a Colômbi… "
002175	#FuerzaVenezuela  RT @RUGODA  O povo Brasileiro apóia nossos irmãos venezuelanos.  #FueraMaduro   #YoNOVotoel30j… 
015974	#Galo escalado para receber o #Palmeiras no #Mineirão pela #Libertadores #ATLXPAL Eu teria colocado o venezuelano S… 
001403	#GazetaEsportivaNet Venezuelano do Atlético Nacional segue na mira da diretoria santista: O meia venezuelano ... 
000681	#GoogleNewsBrasil Parlamento venezuelano dá 1º sinal verde para lei de anistia para políticos 
008079	#GritemosConBrio Fora maduro canalha assassino o Brasil esta com o povo venezuelano
002852	#Grêmio contra Venezuelanos na Libertadores:  6 Jogos 3 Vitórias 2 Empates 1 Derrota
015298	#Grêmio não enfrenta um clube venezuelano desde 2018, quando enfrentou o Monagas pela fase de grupos da… 
008681	#JornaldaCultura Socialismo do século 21 Maduro ora pq o povo venezuelano está passando fome ?
009817	#JornaldaCultura Triste realidade Venezuelana, fico pensando se isso acontecer no Brasil, para onde iremos pedir as… 
001979	#LaLiganaespn na América do Sul São 12 jogadores venezuelanos,  e na Ásia são  5 ,  mas nenhum registrode mais de 4 jogadores no mesmo time
015913	#LiberenNuestroDiplomatico Fonseca covarde presidente sem calça liberta o diplomata venezuelano Alex Saab que você… 
000450	#Libertadores | River Plate entra na disputa com Grêmio por atacante venezuelano 
002710	#LibertadoresFOXSports vcs acham que o Guerra é o melhor jogador venezuelano que apareceu nos últimos anos??? Boa noite
012436	#LoockdownNuncaMais  Apuração tão vergonhosa quanto a venezuelana. TSE aparelhado  inútil
013484	#LulaSeImporta com Maduro, genocida do povo Venezuelano. Lula se importa com a máfia cubana.
013453	#LulaTorcePeloVirus Um desabafo de uma venezuelana. Bem. Disto sabemos com as visitas dos petralhas na Venezuela...… 
010514	"#MADURO,VIROU VERDE.NÃO AMADURECEU.""O PODER EMANA DO POVO"".O POVO VENEZUELANO NÃO AGUENTA,MAIS.""O MUNDO NÃO SUPORTA MAIS A MESMICE""!"
002185	#MLBFOXSports excelentes comentários do Bernardo, time de Softball da colonia Venezuelana no RJ manda um abraço para você. Luis.
006838	#MLSnaESPN Meu palpite p/ destaque individual da partida é o venezuelano Josef Martinez
001746	#MPF /AM denuncia russos presos com mais de R$ 7 milhões em moeda venezuelana  #lavagem
002967	#MafiaTurbilhãoDeSdv Hoje não vamos deixar que o presidente da Venezuela fazer o que quiser no governo #VenezuelaNoEstaSola
002970	#MasterChefBR ou essa venezuelana é muito baixa ou a @PaolaCarosella é muito alta... mds
002922	"#MasterchefBR se é BR pq tem Venezuelana que sai gritando ""Venezuela"""
001130	#MeRevoltoQuando VENEZUELANOS,  CUBANOS,  BOLIVARIANOS E OUTRAS MERDAS, VEM DAR PITACO AQUI. VÃO SE FUDER TODOS, INCLUSIVE QUEM APOIA!
003683	#Mundo: EUA VENEZUELA - Apesar de críticas, Goldman Sachs defende compra de bônus venezuelanos 
012935	#Music A mexicana Thalia se junta aos irmãos venezuelanos Mau & Ricky para seu novo single “Ya Tú Me Conoces”. A mú… 
008930	#NEWHUD [0-0]  45' - RONDON MEU FILHO!!! Quase o Newcastle marca, mas o atacante venezuelano mandou a bola pra fora.
000483	#NoHayComidaNiMedicinas #NoHayComidaNiMedicinas o_antagonista viram a situação dos venezuelanos? #NoHayComidaNiMedicinas
000534	#NoHayComidaNiMedicinas o_antagonista viram a situação dos venezuelanos? #NoHayComidaNiMedicinas
012166	#NossosProjetos A interiorização para o Trabalho nasce com o objetivo de oferecer aos refugiados venezuelanos a pos… 
018228	#NossosProjetos Refugiados venezuelanos que estavam em Manaus (AM), foram interiorizados para trabalhar na cidade d… 
005760	#OBrasilVota17 Vamos estocar os venezuelanos do Brasil.  Aqui é 17 K A R A L H O 
001348	#OperacaoBetaLab Centenas de venezuelanos cruzam fronteira com a Colômbia para comprar comida: ...  #SDV #TIMBETA
000547	#OperacaoBetaLab Chanceler venezuelana visita o Brasil em meio a impasse político: Agência Brasi...  #SDV #TIMBETA
000463	#OperacaoBetaLab Deputados da oposição abandonam Assembleia venezuelana para destravar impasse: ...  #SDV #TIMBETA
001687	#OperacaoBetaLab Fronteira reabre e milhares de venezuelanos entram na Colômbia: Cúcuta (Colômb...  #SDV #TIMBETA
000952	#OperacaoBetaLab Parlamento venezuelano aprova em 1ª instância emenda para saída de Maduro: Cara...  #SDV #TIMBETA
000484	"#OperacaoBetaLab Parlamento venezuelano declara ""crise humanitária de saúde"": A Assembleia Nacio...  #SDV #TIMBETA"
000657	#OperacaoBetaLab Pastor Maldonado não pilotará na Fórmula 1 em 2016: Venezuelano mão renovará co...  #SDV #TIMBETA
001447	#OperacaoBetaLab Venezuela ordena ocupação de fábrica da Kimberly-Clark: O governo venezuelano ...  #SDV #TIMBETA
001267	#OperacaoBetaLab Venezuelanos fazem longas filas para assinar referendo: 1,3 milhão de pessoas ...  #SDV #TIMBETA
001743	#OperacaoBetaLab Venezuelanos são presos suspeitos de distrair dono e furtar joalheria: Crime foi re...  #SDV #RT
000829	#OperacaoBetaLab Venezuelanos são presos suspeitos de furto a supermercado em Roraima: Três ven...  #SDV #TIMBETA
011000	#OperacionLiberdad DEUS LIBERTA O POVO VENEZUELANO
010714	#OperacionLibertad  força Venezuelanos!
010807	#OperacionLibertad Deus, tenha misericórdia do povo venezuelano.🙏🙏🙏 A situação é grave!
003127	"#PLS280NAO  ""Tribunal venezuelano recua e anula decisões que restringiam atuação da Assembleia"" "
006594	#PTnão Os Venezuelanos estão fugindo para o Brasil, e nós vamos fugir para onde se o PT voltar?
005572	#Panamá anuncia suspensão das operações de companhias aéreas venezuelanas  #Venezuela
005720	#PauNoCuDaONU vão tirar um ditador que está matando o povo venezuelano!! E por tabela fudendo com o Brasil....
003401	#Petrolífera #venezuelana vai pagar 841,8 milhões de #dólares a credores. #investorseurope  
017683	#PintouUmClima ???  Eis aqui a cena na qual Bolsono fez referência das meninas de 14 anos venezuelanas.  E aí uma t… 
004933	#PolíticasPúblicas MDS desenvolverá ações para abrigar imigrantes venezuelanos. Pasta integra Comitê Federal de Ass… 
003771	#PortalRedeGalera #Twitter  Procuradora venezuelana pede investigação internacional sobre Ma… 
005669	#PortuVideo @PortuNoticias | #Venezuela: Partido chavista PSUV pedem aos venezuelanos serem “bufos” dos seus vizinh… 
005531	#Primeiros #venezuelanos #remanejados de #Roraima #são #acolhidos na #capital #paulista 
006832	#ProgramaDoPorchat cara, deu pra sentir a dor dessa venezuelana do lado de cá 😭
000804	#QuieroRevocarAMaduro #VenezuelaNoAguantaMas farmaluz,Álamo-Macuto,Vargas.@joseolivaresm @mpjvargas 
007458	#RDRJ  RT @bbcbrasil: Mostrando como é o dia a dia no Brasil e esclarecendo dúvidas sobre o país, venezuelanos yout… 
010204	#RDRJ RT @bbcbrasil: #MaisLidas A questão venezuelana ultrapassa as fronteiras do continente americano e mobiliza p… 
007199	#RIPArgentina depois dos venezuelanos breve o Brasil vai também se encher de Argentinos
002810	#RPNonline Indígenas venezuelanos em Manaus voltarão a seu país de origem em abril  
013191	#RT @opropriolavo: O Trump, para variar, está certo: sem o petróleo venezuelano, a China é a famosa baratinha sin las dos patitas de trás.
014011	#RedBullBragaENM | A contratação do venezuelano Jan Hurtado é muito boa. Embora ainda seja uma jovem promessa, o at… 
007014	#Repost ricardosallesmma • • • • • • Brasília, Brazil  Nao bastasse não ajudar na limpeza do petróleo venezuelano n… 
003933	#SKYFORCE  #URGENTE: O PRESIDENTE VENEZUELANO, NICOLÁS MADURO, CONFIRMOU QUE UM HELICÓPTERO NÃO IDENTIFICADO... 
001805	#SOSVenezuela O mundo não pode fechar os olhos ao sofrimento vivido pelos irmãos venezuelanos  
001751	#TEAMFOLLOWBACK Venezuelanos são presos suspeitos de distrair dono e furtar joalheria: Crime...  #TeSigoMeSegue -
010040	#TENSÃO  Antes da chegada destas ambulâncias, os hospitais de Roraima já haviam recebido 13 venezuelanos feridos ap… 
005134	#TIMBETA #TimBeta Governo anuncia acordo para levar 4G a cidade porta de entrada de imigrantes venezuelanos: MDIC f… 
003913	#TimBeta Espanha captura barco venezuelano com 1,2 tonelada de coca?na  #TimBetaAjudaTimBeta 
003782	#TimBeta Mulheres venezuelanas marcham contra a repressão e pela paz  
003940	#Twitter #Whisnidy #Equipe  'Minha família vive uma injustiça', denuncia opositora venezuelana - ...
000644	#UolNotícias Shoppings venezuelanos reduzirão jornada por racionamento elétrico 
002015	"#VENEZUELA: ""Maduro condecora venezuelanos que receberam sanções dos #EUA""  "
016020	#VenezolanosEnBrasil   O venezuelano @ronaldseguram deixa uma mensagem para vocês, brasileiros, tomarem a decisão q… 
003763	#Venezuela  Prédio e 205 mil reais para os índios venezuelanos  via: @o_antagonista
005222	#Venezuela #Diaspora Campanha busca ajudar imigrantes venezuelanos refugiados no país 
000121	#Venezuela: Comparativo de alguns produtos entre o preço regulado pelo Estado venezuelano e o preço aplicado... 
003293	#VenezuelaEstoyContigo Avante povo venezuelano, não desistam!
008929	#VenezuelaGritaLiberdad #23FAyudaYLibertad  @gabrielglugo amigo manifesto meu apoio ao povo Venezuelano. Saludos e… 
009971	#VenezuelaGritaLiberdad . Não ao #holocausto venezuelano.
009025	#VenezuelaGritaLibertad . Que Maduro tenha um triste fim, por tudo que fez ao povo venezuelano.
006194	#VenezuelaSOS  Lula tem culpa na tragédia  imposta aos venezuelanos - Jornal Opção 
006703	#VenezuelaSOS vamos ajudar nossos irmãos venezuelanos.
001253	#Venezuelana #gostosa se exibindo pelada na webcam se acabando na siririca  #deliciosa
016585	"#Venezuelanas ""Parei na esquina, tirei o capacete e olhei umas meninas, 3 ou 4, bonitas. De 14 ou 15 anos arrumadin… "
011687	#YoCreoEnVenezuela #VenezuelaSeRespeta #VenezuelaNoEstaSola #VenezuelaNoSeArrodilla  Sanções econômicas roubam R$ 1… 
001524	#betacaralhudosan Venezuelanos denunciam demissões por assinarem referendo revogatório: Sin...  #betacaralhudosan
001176	#betalab Em RR, venezuelanos, colombiana e brasileira são presos com 9 kg droga: Grupo foi preso pela...  #sigame
004655	#brasilmetropole Senado aprova MP com ações emergenciais para venezuelanos  #nacionais
001812	#destak Parlamento venezuelano chumba decreto que prolonga estado de emergência económica 
001719	#dnotícias Oposição venezuelana aguarda sinal para ativar referendo de revogação do mandato… 
012242	#exclusive #EXCLUSIVO #aovivo #URGENTE #Brasil #VenezuelaLibre  #Venezuela #Roraima #brasilia  Venezuelanos causam… 
000469	#feedbrasil Com rejeição chavista, oposição elege presidente da Assembleia venezuelana 
000582	"#feedbrasil Oposição ""limpa"" o chavismo: Imagens de Hugo Chávez são retiradas do Parlamento venezuelano "
001084	#futband Craque Neto, qual título foi mais difícil, o seu brasileiro ou o venezuelano
000678	#hu3b3t Parlamento venezuelano dá 1º sinal verde para lei de anistia para políticos: Bancada chavista votou co... 
013201	#impeachmentrodrigomaia Não está nem aí para o povo confia nas urnas venezuelanas?
018590	#jornaldacultura Bolsonaro tá certo, os venezuelanos foram desarmados, olha no que deu, os mesários com medo? kkkkk… 
006620	#meubolsominionsecreto São os mesmo que chamam a Ditadura Venezuelana de Maduro de democracia!!Boulos de reformista… 
012947	#mulheresviolênciaeresistência #feminicide | Você sabia disso sobre os femicídios de migrantes venezuelanos na Colô… 
004047	#observador Canadá expulsa diplomatas venezuelanos como retaliação: Canadá proíbe regresso… 
002752	#observador Líder da oposição venezuelana Leopoldo Lopez regressa a prisão domiciliária… 
001864	#observador Manifestações pró e contra Maduro esperadas nas ruas da capital venezuelana: São… 
000946	#operacaoBetaLab Prefeito de município venezuelano morre após receber 8 tiros: Marcos Tulio Carrillo foi balea... 
000666	#operacaobetalab Parlamento venezuelano dá 1º sinal verde para lei de anistia para políticos: Bancada...  #timbeta
001606	"#política via #Folha - Brasil: Pastor prega em ""portunhol"" para venezuelanos em cidade fronteiriça em Roraima "
010084	#política via #G1 - 'Estamos morrendo de fome’: o que dizem venezuelanos que desafiam fronteira fechada e fogem par… 
003946	#publico Maduro anuncia criptomoeda para ultrapassar bloqueio: O Presidente venezuelano… 
001347	#rt1 Com fronteira reaberta por 12 horas, venezuelanos compram na Colômbia: Venezuelanos poderão comprar comi... 
006209	#venezuelaSOS @realDonaldTrump SALVEM OS IRMÃOS VENEZUELANOS...
003366	'#DePuraCepa' é o titulo da nova novela da #Telemundo Será um remake da venezuelana Pura Sangre (1994), que já... 
009361	'Cenário de guerra', diz diretor de hospital na fronteira que recebe venezuelanos feridos | Roraima | G1 
005498	'Despejados', moradores de rua se revoltam com venezuelanos em SP   
002233	'Juiz Sérgio Moro proíbe venezuelano enrolado na Triplo X de deixar o Brasil' via @DiariodoPoder - 
002637	'Lula e sua turminha da pesada deveriam se mudar para a Venezuela. Os venezuelanos estão fugindo   via @folhapolitica
